Кол-во потоков:1, среднее время выполнения:22.3 ms
Кол-во потоков:2, среднее время выполнения:12.7 ms
Кол-во потоков:3, среднее время выполнения:8.9 ms
Кол-во потоков:4, среднее время выполнения:8.2 ms
Кол-во потоков:5, среднее время выполнения:4.5 ms
Кол-во потоков:6, среднее время выполнения:4.0 ms
Кол-во потоков:7, среднее время выполнения:3.9 ms
Кол-во потоков:8, среднее время выполнения:3.8 ms
Кол-во потоков:9, среднее время выполнения:4.5 ms
Кол-во потоков:10, среднее время выполнения:4.2 ms
Кол-во потоков:11, среднее время выполнения:4.3 ms
Кол-во потоков:12, среднее время выполнения:4.1 ms
Кол-во потоков:13, среднее время выполнения:4.2 ms
Кол-во потоков:14, среднее время выполнения:4.2 ms
Кол-во потоков:15, среднее время выполнения:4.2 ms
Кол-во потоков:16, среднее время выполнения:4.3 ms
Кол-во потоков:17, среднее время выполнения:5.1 ms
Кол-во потоков:18, среднее время выполнения:4.4 ms
Кол-во потоков:19, среднее время выполнения:4.4 ms
Кол-во потоков:20, среднее время выполнения:4.5 ms
Кол-во потоков:21, среднее время выполнения:4.7 ms
Кол-во потоков:22, среднее время выполнения:4.5 ms
Кол-во потоков:23, среднее время выполнения:4.8 ms
Кол-во потоков:24, среднее время выполнения:4.8 ms
Кол-во потоков:25, среднее время выполнения:5.1 ms
Кол-во потоков:26, среднее время выполнения:4.8 ms
Кол-во потоков:27, среднее время выполнения:5.1 ms
Кол-во потоков:28, среднее время выполнения:5.1 ms
Кол-во потоков:29, среднее время выполнения:5.4 ms
Кол-во потоков:30, среднее время выполнения:5.0 ms
Кол-во потоков:31, среднее время выполнения:5.4 ms
Кол-во потоков:32, среднее время выполнения:5.9 ms
Кол-во потоков:33, среднее время выполнения:6.2 ms
Кол-во потоков:34, среднее время выполнения:5.8 ms
Кол-во потоков:35, среднее время выполнения:5.8 ms
Кол-во потоков:36, среднее время выполнения:6.5 ms
Кол-во потоков:37, среднее время выполнения:6.2 ms
Кол-во потоков:38, среднее время выполнения:6.2 ms
Кол-во потоков:39, среднее время выполнения:7.0 ms
Кол-во потоков:40, среднее время выполнения:6.5 ms
Кол-во потоков:41, среднее время выполнения:6.4 ms
Кол-во потоков:42, среднее время выполнения:6.6 ms
Кол-во потоков:43, среднее время выполнения:6.8 ms
Кол-во потоков:44, среднее время выполнения:6.8 ms
Кол-во потоков:45, среднее время выполнения:7.0 ms
Кол-во потоков:46, среднее время выполнения:7.3 ms
Кол-во потоков:47, среднее время выполнения:7.3 ms
Кол-во потоков:48, среднее время выполнения:7.3 ms
Кол-во потоков:49, среднее время выполнения:7.5 ms
Кол-во потоков:50, среднее время выполнения:7.6 ms
